H0_n_features,H0_mean_persistence,H0_std_persistence,H0_max_persistence,H0_total_persistence,H1_n_features,H1_mean_persistence,H1_std_persistence,H1_max_persistence,H1_total_persistence,group,n_models
0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,18396
0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,18396
0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,18396
0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,18396
0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,18396
1,0.28897158142981294,0.0,0.28897158142981294,0.28897158142981294,0,0,0,0,0,5,18396
0,0.0,0.0,0.0,0.0,0,0,0,0,0,6,18396
1,0.27848153485582045,0.0,0.27848153485582045,0.27848153485582045,0,0,0,0,0,7,18396
0,0.0,0.0,0.0,0.0,0,0,0,0,0,8,18396
0,0.0,0.0,0.0,0.0,0,0,0,0,0,9,18396
