layer,epoch,mean_cond,std_cond,mean_eff_rank,mean_outliers,mean_sigma2
conv1,11,3.8817056517913473,1.0897425299150847,6.8524335638970175,0.21,0.25306748752028724
conv1,16,3.9766512166774364,1.0160634654562064,6.817603660714334,0.24,0.2770434201716246
conv1,21,4.06258672015102,0.9931010664314831,6.792716040615745,0.26,0.3002001627613792
conv1,26,4.107365533708977,0.9934550595204875,6.781265160489338,0.29,0.30888970269516
conv1,31,4.148943838538798,1.012266003934454,6.774044632277229,0.26,0.3282668475070639
conv1,36,4.1848181541631675,1.0320288444228827,6.768343868008279,0.24,0.34606682506314956
conv2,11,1.6823373352947335,0.22855659576959433,5.8165494242370945,0.13,350.99638598227364
conv2,16,1.667648670116813,0.24785713219535382,5.821856874619962,0.14,342.9301924489207
conv2,21,1.645933017448023,0.2657044930816438,5.828853276135546,0.13,334.8645873731988
conv2,26,1.6324728290887658,0.2785843314012231,5.833344336521029,0.25,334.8627649475025
conv2,31,1.6222819847873493,0.28709353208928506,5.836218846553817,0.23,330.8297471303337
conv2,36,1.6159290230106094,0.2914162981417474,5.8376107561359944,0.21,322.7642784361031
conv3,11,1.8386883225593007,0.44187629760457986,3.8085768978567835,0.09,0.37687694116093623
conv3,16,1.8198176133707076,0.432918805205951,3.810642182408845,0.07,0.38629630340970444
conv3,21,1.8058910743854193,0.44500167641583765,3.8117220439399198,0.07,0.37980901796021366
conv3,26,1.8004034366269923,0.4688581903605185,3.8106723908020923,0.09,0.38024788848752356
conv3,31,1.7986661284379846,0.49974562014716034,3.809085501399864,0.09,0.3922263860649081
conv3,36,1.8025026589956699,0.5376662278542286,3.8063255512284546,0.11,0.40762435277312603
fc1,11,8.809578265809316,5.261467602888748,15.528508972402262,1.39,0.1418761019871161
fc1,16,9.009330980452065,5.4378345128214,15.519248801960128,1.55,0.1439359515302768
fc1,21,9.047229656934448,5.381245426731526,15.516888125479689,1.29,0.18800286253428553
fc1,26,9.022060782999025,5.248288629527897,15.519101369123277,1.17,0.21150505568561312
fc1,31,8.981028107976222,5.1305085532214525,15.526752014293864,1.17,0.21060973296543675
fc1,36,8.958389727331657,5.073317552247176,15.53077537478996,1.16,0.21180442508545788
fc2,11,3.8564300325063785,0.9660345556470322,8.879171657176682,0.01,0.8379277453984071
fc2,16,3.891692275698727,0.973336705098626,8.872375739274737,0.0,0.976902427426965
fc2,21,3.919354389102508,1.016297094044635,8.857921258551002,0.01,1.0569317856798268
fc2,26,3.952601727054074,1.0755705560991644,8.837282485580369,0.01,1.1557076747119535
fc2,31,3.9788167381948556,1.1413441827494943,8.821736715815808,0.03,1.1850487806853722
fc2,36,4.008551067873771,1.2154306700770712,8.805990572234725,0.04,1.2135503661463498
