sparsity,n_pruned,n_nonzero,l2_distortion,l2_relative,cosine_similarity
0.0,0,2464,0.0,0.0,0.9999999999999946
0.05,123,2341,0.09517174791381322,0.007116398315225952,0.999974678116905
0.1,246,2218,0.27986793731898685,0.020926921710277133,0.9997810079951113
0.15000000000000002,369,2095,0.5119495638140608,0.03828065674181302,0.9992670270350184
0.2,492,1972,0.7832554509481235,0.05856735736919008,0.9982834590690052
0.25,616,1848,1.10210169428956,0.08240885359752398,0.996598605682714
0.30000000000000004,739,1725,1.4535185020998798,0.10868579012398313,0.9940761535340804
0.35000000000000003,862,1602,1.839318324756815,0.13753369160895526,0.9904970891791651
0.4,985,1479,2.2664028021472102,0.1694686231614632,0.9855355832052655
0.45,1108,1356,2.728869587403547,0.2040492410820939,0.9789606259772681
0.5,1232,1232,3.2350479626730735,0.24189836139281848,0.9703015937096311
0.55,1355,1109,3.78608932526833,0.28310207899127965,0.9590897835295674
0.6000000000000001,1478,986,4.396419983683698,0.32873911061552996,0.9444207733588265
0.65,1601,863,5.0574834069521,0.3781696478781745,0.9257363109566707
0.7000000000000001,1724,740,5.772969196379446,0.4316695780366482,0.9020318039834428
0.75,1848,616,6.569254070075554,0.49121120102693516,0.8710405019203356
0.8,1971,493,7.479414381482652,0.5592677771502251,0.8289870647008856
0.8500000000000001,2094,370,8.489193773161771,0.6347732976351778,0.7726984279842254
0.9,2217,247,9.661042095216843,0.7223974046582526,0.6914781194968755
0.9500000000000001,2340,124,11.067392465603158,0.8275562319974108,0.5613828309470634
