rank,param,idx,final_value,abs_mag,mag_z,traj_std,traj_z,sw_score,osc_ratio
1,weight 2411,2373,-1.0752435,1.0752435,5.093525647149679,0.18060892005288726,7.005895285903248,35.68470731999323,0.022733932172773585
2,weight 2388,2350,-0.8077473,0.8077473,3.520734900323317,0.15400221779011644,5.778449424215108,20.344388557587305,0.039340997535593905
3,weight 548,540,-0.7487414,0.7487414,3.173799379264844,0.1631550017422036,6.200694416246113,19.679760089292895,0.04139342281527519
4,weight 867,859,-0.7117412,0.7117412,2.9562502245825537,0.15309935810200365,5.73679783669726,16.959409893120984,0.04690449831830052
5,weight 1303,1295,-0.85018027,0.85018027,3.770226977505575,0.12339867651746499,4.366617558802773,16.46313932064775,0.017937282327640344
6,weight 956,948,-0.8145376,0.8145376,3.560659658163522,0.11713978550970683,4.077876406654072,14.51993001214998,0.015656703900400845
7,weight 72,72,-1.103411,1.103411,5.259141395564914,0.08638805350500853,2.659208064515122,13.985151211511532,0.004102455143238811
8,weight 2258,2220,-0.86711574,0.86711574,3.869802038793008,0.10198620674762902,3.378797003367635,13.07527553229978,0.010982689600184403
9,weight 662,654,-0.707413,0.707413,2.9308018148092043,0.12251091305333847,4.3256624047427845,12.6776592260721,0.02629151840645156
10,weight 1612,1594,-0.5683795,0.5683795,2.1133300066157314,0.1546044979234009,5.806234387938755,12.270489357475096,0.07264895221402734
11,weight 267,259,0.663346,0.663346,2.6717021721212064,0.11182363867284242,3.8326268311677425,10.239637429760874,0.02335149753801854
12,weight 941,933,-0.91669166,0.91669166,4.161292341239936,0.08054983171020755,2.3898736272416583,9.94496282157202,0.00509024055725792
13,weight 257,249,-0.5831905,0.5831905,2.200413874540753,0.12301980840072525,4.349139252118052,9.569906352670355,0.04828792553499485
14,weight 2048,2030,-0.78663707,0.78663707,3.396613606610075,0.08348327561660533,2.525202069971685,8.577135710305752,0.00824275537099205
15,weight 150,150,-0.7046655,0.7046655,2.914647407468444,0.09015410051328786,2.8329469506642573,8.25704148524921,0.012632553872018261
16,weight 73,73,-1.0178602,1.0178602,4.756130486910539,0.065021032020944,1.6734841729107757,7.959309094143208,0.0025486308276529914
17,weight 2351,2313,-0.63572896,0.63572896,2.50932294966222,0.09519694573478216,3.0655883143750113,7.6925511114775365,0.021918062901177128
18,weight 950,942,0.43361446,0.43361446,1.3209553564050571,0.14858060798817307,5.528334530254917,7.302683109739268,0.1707993281402055
19,weight 2017,1999,-0.670303,0.670303,2.7126070718007944,0.08677663084635664,2.6771342864449594,7.26201339757097,0.013643041823007358
20,weight 544,536,-0.55700046,0.55700046,2.04642494845129,0.10187991608874876,3.3738935009309112,6.904419833722682,0.029234165871671144
